,Model Name,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Landing over 50ft,Empty weight lbs,Price,Total_Length_in,Total_Span_in
450,100 Darter (S.L. Industries),Piston,90.0,96.0,83.0,37.0,25,660.0,1400.0,870.0,1600000.0,240.0,420.0
451,PA-22 135 Tri-Pacer,Piston,85.0,91.0,83.0,37.0,30,640.0,1400.0,791.0,1550000.0,236.0,415.0
452,100 Darter (S.L. Industries),Piston,65.0,91.0,78.0,37.0,14,550.0,1260.0,750.0,1400000.0,236.0,415.0
457,PA-11,Piston,235.0,157.0,129.0,38.0,40,1900.0,2500.0,1425.0,2000000.0,282.0,398.0
459,Kodiak 100,Piston,220.0,157.0,150.0,33.0,42,1250.0,2300.0,1300.0,1900000.0,278.0,370.0
461,Super 340 (Cessna 340 conversion),Piston,210.0,157.0,137.0,33.0,40,1250.0,2300.0,1350.0,1800000.0,273.0,370.0
463,TurboStream (Cessna 310 & 320 conv) 310hp,Piston,220.0,157.0,152.0,35.0,42,1250.0,2300.0,1280.0,1900000.0,264.0,356.0
464,100 Darter (S.L. Industries),Piston,210.0,157.0,143.0,35.0,42,1250.0,2100.0,1250.0,1800000.0,264.0,356.0
465,Rocket (Cessna 310 conversion),Piston,180.0,148.0,135.0,35.0,42,1000.0,2300.0,1250.0,1700000.0,270.0,356.0
466,305 Rocket,Piston,145.0,157.0,130.0,35.0,42,700.0,2100.0,1100.0,1200000.0,264.0,356.0
468,100 Darter (S.L. Industries),Jet,2900.0,456.0,438.0,60.766877637130804,4260,3180.0,15780.0,9925.0,4100000.0,581.0,522.0
469,"200 D Meyers (Prop Jets, Inc.)",Jet,2500.0,430.0,400.0,77.0,4260,3050.0,14630.0,9410.0,4100000.0,581.0,522.0
470,100 Darter (S.L. Industries),Jet,2500.0,434.0,410.0,77.0,646,3000.0,13890.0,8300.0,4100000.0,580.0,521.0
471,"200 Meyers (Prop Jets, Inc.)",Propjet,778.0,309.0,296.0,77.0,403,2200.0,11575.0,7650.0,2975000.0,473.0,470.0
472,100 Darter (S.L. Industries),Propjet,727.0,322.0,313.0,73.0,403,2350.0,10470.0,7010.0,3350000.0,399.0,470.0
473,100 Darter (S.L. Industries),Propjet,724.0,317.0,304.0,73.0,364,2840.0,10470.0,6864.0,3220000.0,399.0,470.0
474,100 Darter (S.L. Industries),Propjet,776.0,296.0,283.0,77.0,364,2630.0,11575.0,7570.0,2960000.0,473.0,470.0
475,100 Darter (S.L. Industries),Propjet,724.0,317.0,270.0,71.0,366,3100.0,9920.0,5920.0,3320000.0,399.0,470.0
476,Sabre 75A,Propjet,724.0,300.0,265.0,73.0,366,2690.0,10800.0,6800.0,3080000.0,473.0,470.0
477,100 Darter (S.L. Industries),Propjet,705.0,283.0,261.0,73.0,366,2590.0,10800.0,6700.0,2700000.0,473.0,470.0
478,Sabre 65,Propjet,705.0,296.0,270.0,71.0,366,2875.0,9920.0,5790.0,3040000.0,399.0,470.0
479,100 Darter (S.L. Industries),Propjet,605.0,261.0,198.68553459119497,64.0,285,2000.0,8930.0,5730.0,2600000.0,399.0,470.0
480,100 Darter (S.L. Industries),Piston,280.0,242.0,237.0,59.0,100,1380.0,3374.0,2370.0,2500000.0,321.0,437.0
481,Sting Sport S3,Jet,280.0,242.0,175.0,56.0,89,1375.0,3368.0,2380.0,2500000.0,320.0,438.0
483,108-1,Piston,280.0,197.0,191.0,60.0,95,1200.0,3368.0,2200.0,2100000.0,321.0,433.0
485,SA-160,Piston,310.0,217.0,200.0,60.0,92,1120.0,3680.0,2380.0,2400000.0,313.0,420.0
486,F-21B,Piston,310.0,197.0,170.0,59.0,100,1300.0,3380.0,2250.0,2000000.0,320.0,438.0
487,100 Darter (S.L. Industries),Piston,220.0,213.0,197.0,60.0,80,1300.0,3100.0,2000.0,2500000.0,305.0,433.0
488,P2006T,Piston,210.0,219.0,201.0,59.0,75,1080.0,2900.0,1800.0,2800000.0,305.0,433.0
489,A-36 Bonanza Prop Jet,Piston,200.0,178.0,171.0,54.0,64,1060.0,2740.0,1710.0,1860000.0,296.0,433.0
490,1000 Jet Prop,Piston,210.0,201.0,191.0,57.0,75,1080.0,2900.0,1800.0,2400000.0,305.0,433.0
491,100 Darter (S.L. Industries),Piston,200.0,175.0,170.0,53.0,64,1030.0,2740.0,1671.0,1880000.0,296.0,433.0
492,900 Jet Prop,Piston,200.0,161.0,156.0,54.0,64,1055.0,2740.0,1640.0,1880000.0,288.0,420.0
493,100 Darter (S.L. Industries),Piston,200.0,165.0,160.0,50.0,52,1125.0,2575.0,1600.0,2120000.0,278.0,420.0
494,"690A, Prop Jet (690 length=43/0 & height=14/11)",Piston,180.0,155.0,147.0,50.0,52,875.0,2525.0,1585.0,1700000.0,291.0,420.0
495,100 Darter (S.L. Industries),Piston,180.0,147.0,143.0,50.0,52,800.0,2575.0,1525.0,1650000.0,278.0,420.0
496,720 Alti-Cruiser,Piston,180.0,153.0,150.0,50.0,52,860.0,2575.0,1525.0,1950000.0,278.0,420.0
497,100 Darter (S.L. Industries),Piston,200.0,171.0,163.0,50.0,52,1110.0,2575.0,1575.0,1880000.0,278.0,420.0
498,685 pressurized,Piston,180.0,165.0,158.0,50.0,52,800.0,2575.0,1525.0,1720000.0,278.0,420.0
499,100 Darter (S.L. Industries),Piston,180.0,165.0,158.0,50.0,52,1150.0,2450.0,1525.0,1850000.0,278.0,420.0
500,680 W Turbo II Prop Jet,Piston,180.0,165.0,157.0,50.0,35,1150.0,2450.0,1440.0,2000000.0,277.0,420.0
501,100 Darter (S.L. Industries),Piston,150.0,149.0,143.0,50.0,35,900.0,2450.0,1415.0,1720000.0,277.0,420.0
502,680 FLP Pressurized Grand,Piston,180.0,128.0,117.0,50.0,52,740.0,2500.0,1455.0,1360000.0,278.0,420.0
503,100 Darter (S.L. Industries),Piston,90.0,103.0,96.0,40.0,24,835.0,1450.0,950.0,1250000.0,248.0,360.0
504,680 FL Grand,Piston,90.0,112.0,108.0,39.0,24,640.0,1450.0,950.0,1730000.0,240.0,360.0
506,100 Darter (S.L. Industries),Piston,285.0,177.0,166.0,48.0,40,1375.0,3315.0,2000.0,2150000.0,329.0,417.0
507,560 F,Piston,260.0,160.0,156.0,51.0,108,1150.0,3315.0,1925.0,2050000.0,329.0,413.0
508,100 Darter (S.L. Industries),Piston,260.0,165.0,147.0,57.0,40,1110.0,2850.0,1950.0,1660000.0,327.0,399.0
509,560 A-HC,Piston,205.0,142.0,135.0,57.0,40,1050.0,2750.0,1782.0,1560000.0,327.0,399.0
510,560,Propjet,850.0,400.0,198.68553459119497,90.0,2630,3000.0,10810.0,7200.0,4100000.0,567.0,552.0
511,500 U,Propjet,1200.0,270.0,265.0,64.0,402,1680.0,9920.0,5732.0,3000000.0,567.0,639.0
512,500 A,Propjet,1000.0,351.0,334.0,60.766877637130804,3819,3242.0,12050.0,7856.0,4100000.0,521.0,572.0
513,100 Darter (S.L. Industries),Propjet,720.0,312.0,288.0,89.0,578,2380.0,11200.0,6837.0,3584000.0,521.0,572.0
514,520,Propjet,720.0,290.0,275.0,87.0,390,2236.0,11200.0,6389.0,3200000.0,521.0,572.0
515,2180,Propjet,620.0,275.0,270.0,77.0,382,1750.0,9474.0,5164.0,3240000.0,440.0,512.0
516,2150A Kachina,Propjet,620.0,283.0,269.0,75.0,382,2710.0,9000.0,5018.0,3160000.0,416.0,512.0
